orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,tt_toxic_new,tt_neutral_new,sim_score,toxic_score,neutral_score
"откуда у тварей ордена, что за то что жопу лизали","Откуда ордена,за то что пытались угодить","Theан ияләре заказларын каян алдылар, ишәкләрен ялан өчен нәрсә?","Заказлар каян килгән, зинһар өчен",tt,"откуда у тварей ордена, нәрсә өчен то нәрсә жопу лизали","откуда ордена,өчен то нәрсә пытались угодить",0.6699687838554382,0.0012924671173095703,0.26285189390182495
"себе то веришь , трепло",себе то веришь?,син үзеңә ышанасың,Сез үзегезгә ышанасызмы?,tt,"себе то веришь , трепло",себе то веришь?,0.8001659512519836,0.9983327984809875,0.17044860124588013
"да их всех блядей имеющих личных водителей,нужно так. эти суки кем себя возомнили,уроды.","Да их всех людей, имеющих личных водителей нужно так. Кем они себя возомнили","Әйе, аларның барысының да шәхси йөртүчеләре бар, бу кирәк. Кем бу карчыклар дип уйлыйлар, фрейклар.","Әйе, шәхси драйверлары булган барлык кешеләргә моның кирәк. Алар кем дип уйлыйлар",tt,"да их всех блядей имеющих личных водителей,нужно так. эти суки кем себя возомнили,уроды.","да их всех людей, имеющих личных водителей нужно так. кем они себя возомнили",0.7524508237838745,0.9950370192527771,0.9995226860046387
чмо ёбаное подумай как тебя за измену родины будет народ судить козёл,подумай как тебя за измену родины будет народ судить,"шмук, халык сине хыянәт өчен ничек хөкем итәчәк икәне турында уйла, ахмак",кешеләр сезне хыянәт өчен ничек хөкем итәрләр дип уйлагыз,tt,чмо ёбаное подумай как тебя өчен измену родины будет народ судить козёл,подумай как тебя өчен измену родины будет народ судить,0.7759827375411987,0.9988653659820557,0.9875497221946716
чмо ёбаное подумай как тебя за измену родины будет народ судить козёл,"Подумай, как тебя народ будет судить за измену Родине.","шмук, халык сине хыянәт өчен ничек хөкем итәчәк икәне турында уйла, ахмак",Ватаныгызга хыянәт өчен кешеләр сезне ничек хөкем итәрләр дип уйлагыз.,tt,чмо ёбаное подумай как тебя өчен измену родины будет народ судить козёл,"подумай, как тебя народ будет судить өчен измену родине.",0.7759827375411987,0.9988653659820557,0.768126904964447
​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,"Что вы придираетесь к Бузовой? Нормальная женщина. Вы посмотрите кругом, цирк. Пусть поёт, приятная женщина",Сез нәрсә кешеләр - сез алдандыгызмы - гади хатын - тирә-якка карагыз - тирә-юньдә цирк бар - аңа җырларга рөхсәт итегез - матур хатын,"Нигә Сез Бузовада гаеп табасыз? Нормаль хатын. Тирә-якка карагыз, бу цирк. Singырлыйк, матур хатын",tt,​нәрсә сез кешеләр -доебались до бузовой -нормальная женщина -сез посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,"нәрсә сез придираетесь к бузовой? нормальная женщина. сез посмотрите кругом, цирк. пусть поёт, приятная женщина",0.8245066404342651,0.9946706891059875,0.03210347890853882
​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,"​что вы люди пристали к бузовой - нормальная женщина, вы посмотрите вокруг - кругом цирк, пусть поет - приятная женщина",Сез нәрсә кешеләр - сез алдандыгызмы - гади хатын - тирә-якка карагыз - тирә-юньдә цирк бар - аңа җырларга рөхсәт итегез - матур хатын,"Нигә сез Бузованы пестерлыйсыз - гади хатын, тирә-якка карагыз - тирә-юньдә цирк бар, аны җырларга рөхсәт итегез - матур хатын",tt,​нәрсә сез кешеләр -доебались до бузовой -нормальная женщина -сез посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,"​нәрсә сез кешеләр пристали к бузовой - нормальная женщина, сез посмотрите вокруг - кругом цирк, пусть поет - приятная женщина",0.8245066404342651,0.9946706891059875,0.9958630800247192
​что вы люди -доебались до бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,​что вы люди -прицепились к бузовой -нормальная женщина -вы посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,Сез нәрсә кешеләр - сез алдандыгызмы - гади хатын - тирә-якка карагыз - тирә-юньдә цирк бар - аңа җырларга рөхсәт итегез - матур хатын,Сез нәрсә кешеләр - бузовага ябышу - гади хатын - тирә-якка карагыз - тирә-юньдә цирк бар - аны җырларга рөхсәт итегез - матур хатын,tt,​нәрсә сез кешеләр -доебались до бузовой -нормальная женщина -сез посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,​нәрсә сез кешеләр -прицепились к бузовой -нормальная женщина -сез посмотрите вокруг -кругом цирк -пусть поет -приятная женщина,0.8245066404342651,0.9946706891059875,0.9959113597869873
"вот же удод ,кто это сделал.😡","Плохой человек, кто это сделал.",Менә моны эшләгән кальян .😡,Моны эшләгән начар кеше.,tt,"вот же удод ,кто бу сделал.😡","плохой человек, кто бу сделал.",0.7348728179931641,0.006804347038269043,0.0004394650459289551
"вот же удод ,кто это сделал.😡","вот же нехороший, кто это сделал.😡",Менә моны эшләгән кальян .😡,Бу начар кеше,tt,"вот же удод ,кто бу сделал.😡","вот же нехороший, кто бу сделал.😡",0.7348728179931641,0.006804347038269043,0.9969835877418518
суки опять какую то хуйню спустили в реку уебки,Опять что-то в реку спустили,"тагын карчыклар, ниндидер үгез елгага ташлаучылар җибәрделәр",Тагын нәрсәдер елгага ташланды,tt,суки опять какую то хуйню спустили в реку уебки,опять нәрсә-то в реку спустили,0.7200886011123657,0.9788615107536316,0.16574561595916748
суки опять какую то хуйню спустили в реку уебки,Опять что то спустили в реку,"тагын карчыклар, ниндидер үгез елгага ташлаучылар җибәрделәр",Тагын нәрсәдер елгага ташланды,tt,суки опять какую то хуйню спустили в реку уебки,опять нәрсә то спустили в реку,0.7200886011123657,0.9788615107536316,0.16574561595916748
вот это страна...ебан ...тся можно.,вот это страна...с ума сойти можно,Бу ил ... кызык ... сез булдыра аласыз.,бу ил ... сез акылдан язарга мөмкин,tt,вот бу страна...ебан ...тся можно.,вот бу страна...белән ума сойти можно,0.7484148144721985,0.9994290471076965,0.9788113236427307
Галкин враг народа пидор выгораживает хабадника Соловьева.,Галкин выгораживает Соловьева,"Галкин, халык дошманы, фагот, Чабад галиме Соловьевны саклый.",Галкин Соловьевны саклый,tt,галкин враг народа пидор выгораживает хабадника соловьева.,галкин выгораживает соловьева,0.7506674528121948,0.0010328292846679688,0.0006240010261535645
"​денюжки высосали и все адъю,видел таких пидаразов","денюжки взяли и все адью,видел таких людей","Акча алынды һәм бөтен тәмуг, мин андый фаготларны күрдем","Алар акча һәм бөтен тәмугны алдылар, мин андый кешеләрне күрдем",tt,"​денюжки высосали һәм все адъю,видел таких пидаразов","денюжки взяли һәм все адью,видел таких людей",0.764899730682373,0.9962579011917114,0.9809293746948242
"ты что, солома? вопрос задавай правильно..хер знает к какому комменту твой вопрос..пукнул в пустоту..","Вопрос задай правильно. Непонятно, к какому комменту твой вопрос","Сез нәрсә, салам? сорауны дөрес бирегез .. сезнең соравыгызның нинди аңлатма икәнен кем белә .. космоска җибәрелгән ..",Сорауны дөрес бирегез. Сезнең сорауның нинди аңлатма турында булуы аңлашылмый.,tt,"ты нәрсә, солома? вопрос задавай правильно..хер знает к какому комменту твой вопрос..пукнул в пустоту..","вопрос задай правильно. непонятно, к какому комменту твой вопрос",0.8553053140640259,0.010789036750793457,0.9984092116355896
"ты что, солома? вопрос задавай правильно..хер знает к какому комменту твой вопрос..пукнул в пустоту..","вопрос задавай правильно.. Непонятно, к какому комменту твой вопрос.","Сез нәрсә, салам? сорауны дөрес бирегез .. сезнең соравыгызның нинди аңлатма икәнен кем белә .. космоска җибәрелгән ..",сорауны дөрес бирегез .. Сезнең сорауның нинди аңлатма турында булуы аңлашылмый.,tt,"ты нәрсә, солома? вопрос задавай правильно..хер знает к какому комменту твой вопрос..пукнул в пустоту..","вопрос задавай правильно.. непонятно, к какому комменту твой вопрос.",0.8553053140640259,0.010789036750793457,0.9983013868331909
"Забей, нормально писал, здесь не институт благородных девиц. Вообщем молодец, жги нас глаголом","Не переживай, нормально писал, здесь не институт благородных девиц. Вообщем молодец, жги нас глаголом","Оныт, мин гадәттә яздым, бу асыл кызлар өчен институт түгел. Гомумән, яхшы эшләнгән, безне фигыль белән яндырыгыз","Борчылмагыз, мин гадәттә яздым, бу асыл кызлар өчен институт түгел. Гомумән, яхшы эшләнгән, безне фигыль белән яндырыгыз",tt,"забей, нормально писал, здесь түгел институт благородных девиц. вообщем молодец, жги нас глаголом","түгел переживай, нормально писал, здесь түгел институт благородных девиц. вообщем молодец, жги нас глаголом",0.7710688710212708,0.9747542142868042,0.7624692320823669
и нахуя этого пидора выложили,зачем этого человека выложили,һәм алар моны урнаштырдылар,нигә бу кеше урнаштырылган?,tt,һәм нахуя этого пидора выложили,зачем этого человека выложили,0.6154550909996033,0.9978373646736145,0.8893146514892578
и нахуя этого пидора выложили,И зачем его выложили,һәм алар моны урнаштырдылар,Нигә урнаштырылган?,tt,һәм нахуя этого пидора выложили,һәм зачем его выложили,0.6154550909996033,0.9978373646736145,0.6508672833442688
и нахуя этого пидора выложили,Для чего этого человека выложили,һәм алар моны урнаштырдылар,Нигә бу кеше урнаштырылган?,tt,һәм нахуя этого пидора выложили,для чего этого человека выложили,0.6154550909996033,0.9978373646736145,0.9262518286705017
"от деревень и колхозов вся страна ела и пила натуральные продукты,все сука развалили.","от деревень и колхозов вся страна ела и пила натуральные продукты, все развалили.","авыллардан һәм коллектив фермалардан бөтен ил табигый продуктларны ашады һәм эчте, барысы да җимерелде.","авыллардан һәм коллектив фермалардан бөтен ил табигый продуктларны ашады һәм эчте, барысы да җимерелде.",tt,"от деревень һәм колхозов вся страна ела һәм пила натуральные продукты,все сука развалили.","от деревень һәм колхозов вся страна ела һәм пила натуральные продукты, все развалили.",0.906076967716217,0.002242147922515869,0.002242147922515869
"от деревень и колхозов вся страна ела и пила натуральные продукты,все сука развалили.","От деревень и колхозов вся страна ела и пила натуральные продукты, все развалили","авыллардан һәм коллектив фермалардан бөтен ил табигый продуктларны ашады һәм эчте, барысы да җимерелде.","Авыллардан һәм коллектив фермалардан бөтен ил табигый продуктларны ашады һәм эчте, барысы да җимерелде",tt,"от деревень һәм колхозов вся страна ела һәм пила натуральные продукты,все сука развалили.","от деревень һәм колхозов вся страна ела һәм пила натуральные продукты, все развалили",0.906076967716217,0.002242147922515869,0.002769649028778076
"от деревень и колхозов вся страна ела и пила натуральные продукты,все сука развалили.","От деревень и колхозов вся страна ела и пила натуральные продукты, всё развалили","авыллардан һәм коллектив фермалардан бөтен ил табигый продуктларны ашады һәм эчте, барысы да җимерелде.","Авыллардан һәм коллектив фермалардан бөтен ил табигый продуктларны ашады һәм эчте, барысы да җимерелде",tt,"от деревень һәм колхозов вся страна ела һәм пила натуральные продукты,все сука развалили.","от деревень һәм колхозов вся страна ела һәм пила натуральные продукты, всё развалили",0.906076967716217,0.002242147922515869,0.002769649028778076
"в вашей жалости не нуждаюсь ...себя пожалей ,дура !","Откажусь от вашей жалости,позаботьтесь о себе","Миңа синең кызгануың кирәк түгел ... үзеңне кызган, ахмак!","Мин сезнең кызгануыгызны ташлармын, үзегез турында кайгыртырмын",tt,"в вашей жалости түгел нуждаюсь ...себя пожалей ,дура !","откажусь от вашей жалости,позаботьтесь о себе",0.9058544635772705,0.9847907423973083,0.995069146156311
"в вашей жалости не нуждаюсь ...себя пожалей ,дура !","В вашей жалости не нуждаюсь ...себя пожалей , девушка !","Миңа синең кызгануың кирәк түгел ... үзеңне кызган, ахмак!","Миңа синең кызгануың кирәк түгел ... үзеңне кызган, кыз!",tt,"в вашей жалости түгел нуждаюсь ...себя пожалей ,дура !","в вашей жалости түгел нуждаюсь ...себя пожалей , девушка !",0.9058544635772705,0.9847907423973083,0.9973137974739075
"в вашей жалости не нуждаюсь ...себя пожалей ,дура !",В вашей жалости не нуждаюсь! Жалейте себя!,"Миңа синең кызгануың кирәк түгел ... үзеңне кызган, ахмак!",Миңа кызгану кирәк түгел! Гафу итегез!,tt,"в вашей жалости түгел нуждаюсь ...себя пожалей ,дура !",в вашей жалости түгел нуждаюсь! жалейте себя!,0.9058544635772705,0.9847907423973083,0.9702265858650208
"Эта картинка старше тебя, свинюш. Будущее больно отдаленное выходит.","Эта картинка старше тебя, дорогой. Будущее больно отдаленное выходит.","Бу рәсем сездән олырак, кечкенә дуңгыз. Киләчәк бик ерак тоела.","Бу рәсем сездән олырак, кадерлем. Киләчәк бик ерак тоела.",tt,"эта картинка старше тебя, свинюш. будущее больно отдаленное выходит.","эта картинка старше тебя, дорогой. будущее больно отдаленное выходит.",0.8343501091003418,0.02037602663040161,0.9511788487434387
"Эта картинка старше тебя, свинюш. Будущее больно отдаленное выходит.",Эта картинка старше тебя. Будущее больно отдалённое выходит.,"Бу рәсем сездән олырак, кечкенә дуңгыз. Киләчәк бик ерак тоела.",Бу рәсем сездән олырак. Киләчәк бик ерак тоела.,tt,"эта картинка старше тебя, свинюш. будущее больно отдаленное выходит.",эта картинка старше тебя. будущее больно отдалённое выходит.,0.8343501091003418,0.02037602663040161,0.37915468215942383
что за педик в судейской коллегии???,кто в судейской коллегии???,судьялар коллегиясендә нинди фагот бар ???,судьялар коллегиясендә кем ???,tt,нәрсә өчен педик в судейской коллегии???,кто в судейской коллегии???,0.8705185651779175,0.0017490983009338379,0.0008234381675720215
что за педик в судейской коллегии???,Что за человек в судейской коллегий?,судьялар коллегиясендә нинди фагот бар ???,Судьялар коллегиясендә нинди кеше бар?,tt,нәрсә өчен педик в судейской коллегии???,нәрсә өчен человек в судейской коллегий?,0.8705185651779175,0.0017490983009338379,0.002383589744567871
что за педик в судейской коллегии???,Что за человек в судейской коллегии?,судьялар коллегиясендә нинди фагот бар ???,Судьялар коллегиясендә нинди кеше бар?,tt,нәрсә өчен педик в судейской коллегии???,нәрсә өчен человек в судейской коллегии?,0.8705185651779175,0.0017490983009338379,0.002383589744567871
долбоеб!!! сейчас даже чирий бесплатно не выскакивает.,Сейчас даже чирий бесплатно не выскакивает.,ахмак !!! Хәзер хәтта чире дә бушлай чыкмый.,Хәзер хәтта чире дә бушлай чыкмый.,tt,долбоеб!!! сейчас даже чирий бесплатно түгел выскакивает.,сейчас даже чирий бесплатно түгел выскакивает.,0.8702666163444519,0.02875274419784546,0.8387452960014343
долбоеб!!! сейчас даже чирий бесплатно не выскакивает.,сейчас даже бесплатно чирий не выскакивает,ахмак !!! Хәзер хәтта чире дә бушлай чыкмый.,Хәзер хири бушлай чыкмый,tt,долбоеб!!! сейчас даже чирий бесплатно түгел выскакивает.,сейчас даже бесплатно чирий түгел выскакивает,0.8702666163444519,0.02875274419784546,0.9182366728782654
ты другого не заслуживаешь опущенный в говно засранец 😜,Ты другого заслуживаешь,"сез бүтән нәрсәгә лаек түгел, сез бук-үлгән көл 😜",Сез бүтән нәрсәгә лаек,tt,ты другого түгел заслуживаешь опущенный в говно засранец 😜,ты другого заслуживаешь,0.7940957546234131,0.0017844438552856445,0.5907790064811707
чьмо ебаная ты спортом когда нибудь занемался,ты спортом когда нибудь занимался,Сез спорт белән шөгыльләндегезме?,Сез спорт белән шөгыльләндегезме?,tt,чьмо ебаная ты спортом когда нибудь занемался,ты спортом когда нибудь занимался,0.7525530457496643,0.993296205997467,0.993296205997467
чьмо ебаная ты спортом когда нибудь занемался,ты спортом когда нибудь занимался,Сез спорт белән шөгыльләндегезме?,Сез спорт белән шөгыльләндегезме?,tt,чьмо ебаная ты спортом когда нибудь занемался,ты спортом когда нибудь занимался,0.7525530457496643,0.993296205997467,0.993296205997467
чьмо ебаная ты спортом когда нибудь занемался,Ты спортом когда нибудь занимался?,Сез спорт белән шөгыльләндегезме?,Сезнең спорт белән шөгыльләнүегез бармы?,tt,чьмо ебаная ты спортом когда нибудь занемался,ты спортом когда нибудь занимался?,0.7525530457496643,0.993296205997467,0.8652206063270569
заебался ставить нет не чо не какой прибавки,замучился ставить нет ничего ни какой прибавки,"Мин юк, юк, юк, арттыру куймадым","Мин бернәрсәдән дә, артудан да арыдым",tt,заебался ставить нет түгел чо түгел какой прибавки,замучился ставить нет ничего ни какой прибавки,0.7001132369041443,0.9988116025924683,0.003174304962158203
заебался ставить нет не чо не какой прибавки,Заколебался ставить нет не чо не какой прибавки,"Мин юк, юк, юк, арттыру куймадым","Noк, юк, арттырмаска икеләндем",tt,заебался ставить нет түгел чо түгел какой прибавки,заколебался ставить нет түгел чо түгел какой прибавки,0.7001132369041443,0.9988116025924683,0.9825558662414551
"Батя -- хохол, мать -- русская.","Батя -- украинец, мать -- русская.","Әти - крест, әни - рус.","Минем әтием украин, әнием рус.",tt,"батя -- хохол, мать -- русская.","батя -- украинец, мать -- русская.",0.6790735125541687,0.0003718137741088867,0.18022453784942627
"Батя -- хохол, мать -- русская.","отец - украинец, мать - русская.","Әти - крест, әни - рус.","әтисе - украин, әнисе - рус.",tt,"батя -- хохол, мать -- русская.","отец - украинец, мать - русская.",0.6790735125541687,0.0003718137741088867,0.0006844997406005859
второй пидарас ещё живой . делайте выводы,второй ещё живой . делайте выводы,икенче фагот әле исән. нәтиҗәләр ясарга,икенчесе әле исән. нәтиҗәләр ясарга,tt,второй пидарас ещё живой . делайте выводы,второй ещё живой . делайте выводы,0.7672783136367798,0.012194514274597168,0.0065765380859375
второй пидарас ещё живой . делайте выводы,Второй нехороший человек ещё живой. Делайте выводы,икенче фагот әле исән. нәтиҗәләр ясарга,Икенче начар кеше әле исән. Йомгаклау,tt,второй пидарас ещё живой . делайте выводы,второй нехороший человек ещё живой. делайте выводы,0.7672783136367798,0.012194514274597168,0.003914833068847656
как можно было такую уродку выдвигать в депутаты ?,как можно было такую девушку выдвигать в депутаты ?,Депутат итеп андый ирекне ничек күрсәтергә?,Мондый кызны депутат итеп ничек күрсәтергә?,tt,как можно было такую уродку выдвигать в депутаты ?,как можно было такую девушку выдвигать в депутаты ?,0.7395472526550293,0.7615920305252075,0.9970380067825317
Назад народ! Это уже не тот чубака!,Назад народ! Это уже не тот человек!,Артка кешеләр! Бу бер үк Чебакка түгел!,Артка кешеләр! Бу инде бер үк кеше түгел!,tt,назад народ! бу уже түгел тот чубака!,назад народ! бу уже түгел тот человек!,0.7429320812225342,0.04242748022079468,0.005706608295440674
у меня предыдущий говно висит на карту не качает,У меня предыдущий висит на карту не качает,"Минем карточкада элеккеге бук эленгән, ул йөкләнми","Минем элеккеге карточкага эленеп тора, йөкләми",tt,у меня предыдущий говно висит на карту түгел качает,у меня предыдущий висит на карту түгел качает,0.795513391494751,0.0006541609764099121,0.010282516479492188
у меня предыдущий говно висит на карту не качает,у меня предыдущий висит на карту не качает,"Минем карточкада элеккеге бук эленгән, ул йөкләнми","Минем карточкада эленгән бар, ул йөкләнми",tt,у меня предыдущий говно висит на карту түгел качает,у меня предыдущий висит на карту түгел качает,0.795513391494751,0.0006541609764099121,0.0009133815765380859
у меня предыдущий говно висит на карту не качает,у меня предыдущий висит на карту не качает,"Минем карточкада элеккеге бук эленгән, ул йөкләнми","Минем карточкада эленгән бар, ул йөкләнми",tt,у меня предыдущий говно висит на карту түгел качает,у меня предыдущий висит на карту түгел качает,0.795513391494751,0.0006541609764099121,0.0009133815765380859
"кто-то запускает ракеты этим он вертит на хую роскосмос слышите Ебать вас промывают, пиздец просто.","Кто-то запускает ракеты, этим он обманывает Роскосмос, слышите, вас обманывают!","кемдер моның белән ракеталар җибәрә, ул Роскосмосны кире кага, Факны ишетә, алар сине юалар, бу бары тик алдан гына.","Кемдер ракеталар җибәрә, моның белән ул Роскосмосны алдый, ишетегез, сез алданасыз!",tt,"кто-то запускает ракеты этим ул вертит на хую роскосмос слышите ебать вас промывают, пиздец просто.","кто-то запускает ракеты, этим ул обманывает роскосмос, слышите, вас обманывают!",0.7597860097885132,0.3712172508239746,0.032404959201812744
"уроды, вам бы только деньги",вам бы только деньги,"ирекле, сезгә акча гына кирәк",сезгә акча гына кирәк,tt,"уроды, вам бы только деньги",вам бы только деньги,0.7755935192108154,0.2913782000541687,0.017095446586608887
"уроды, вам бы только деньги",", вам бы только деньги","ирекле, сезгә акча гына кирәк",", сезгә акча гына кирәк",tt,"уроды, вам бы только деньги",", вам бы только деньги",0.7755935192108154,0.2913782000541687,0.006541192531585693
"уроды, вам бы только деньги",Вам бы только деньги,"ирекле, сезгә акча гына кирәк",Сезгә акча гына кирәк,tt,"уроды, вам бы только деньги",вам бы только деньги,0.7755935192108154,0.2913782000541687,0.16551172733306885
да что ты доебалась до этих клумб? людям жрать нечего! по мусоркам лазают!,"И что ты пристал в этим клумбам? Людям есть нечего, добывают пропитание!",бу чәчәк түшәкләре белән нәрсә эшлисең? кешеләрнең ашарга бернәрсә дә юк! Алар чүп савытлары аша йөриләр!,"Whyәм нигә сез бу чәчәк түшәкләренә ябышасыз? Кешеләрнең ашарга бернәрсә дә юк, алар ризык ала!",tt,да нәрсә ты доебалась до этих клумб? людям жрать нечего! по мусоркам лазают!,"һәм нәрсә ты пристал в этим клумбам? людям бар нечего, добывают пропитание!",0.7335839867591858,0.9588967561721802,0.5025870203971863
да что ты доебалась до этих клумб? людям жрать нечего! по мусоркам лазают!,Да что ты пристала к этим клумбам? Людям кушать нечего! По мусоркам лазают!,бу чәчәк түшәкләре белән нәрсә эшлисең? кешеләрнең ашарга бернәрсә дә юк! Алар чүп савытлары аша йөриләр!,Нигә сез бу чәчәк түшәкләрен борчыйсыз? Кешеләрнең ашарга бернәрсә дә юк! Алар чүп савытлары аша йөриләр!,tt,да нәрсә ты доебалась до этих клумб? людям жрать нечего! по мусоркам лазают!,да нәрсә ты пристала к этим клумбам? людям кушать нечего! по мусоркам лазают!,0.7335839867591858,0.9588967561721802,0.9872724413871765
"каждый год, найдётся пьяный дебил, который даже праздник достойно отметить не может🤷‍♂️","Каждый год найдется пьяный,который даже праздник достойно отметить не может","Ел саен исерек морон бар, ул хәтта бәйрәмне хөрмәт белән үткәрә алмый","Ел саен исерткеч эчемлекләр бар, алар хәтта бәйрәмне хөрмәт белән үткәрә алмыйлар.",tt,"каждый год, найдётся пьяный дебил, который даже праздник достойно отметить түгел может🤷‍♂️","каждый год найдется пьяный,который даже праздник достойно отметить түгел может",0.7268756031990051,0.0045021772384643555,0.9966989159584045
вы что там все стали долбаёбами после маидана англасакскова.,вы что там с ума сошли после маидана англасакскова?,Сез барыгыз да Англасаксков Майданнан соң ахмак булдыгызмы?,Англасаксков Майданнан соң акылдан яздыгызмы?,tt,сез нәрсә там все стали долбаёбами после маидана англасакскова.,сез нәрсә там белән ума сошли после маидана англасакскова?,0.6760734915733337,0.9970111846923828,0.024679601192474365
"ты администрация сайта убери всех блядей и порнуху на моей странице, заебали",Прошу администрацию сайта убрать с моей страницы нежелательных персонажей и рекламу,"сез сайт администрациясе, минем фахишәләрне һәм порнографияне бетерегез, минем битем",Мин сайт администрациясеннән битемнән кирәкмәгән персонажларны һәм рекламаны бетерүне сорыйм,tt,"ты администрация сайта убери всех блядей һәм порнуху на моей странице, заебали",прошу администрацию сайта убрать белән моей страницы нежелательных персонажей һәм рекламу,0.8717703819274902,0.002385258674621582,0.002667546272277832
"ты администрация сайта убери всех блядей и порнуху на моей странице, заебали","ты администрация сайта убери всех проституток и порнуху на моей странице, достали","сез сайт администрациясе, минем фахишәләрне һәм порнографияне бетерегез, минем битем","Сез сайт администрациясе минем фахишәләрне һәм порнографияне бетерә, мин аннан авырыйм",tt,"ты администрация сайта убери всех блядей һәм порнуху на моей странице, заебали","ты администрация сайта убери всех проституток һәм порнуху на моей странице, достали",0.8717703819274902,0.002385258674621582,0.0015130043029785156
"ты администрация сайта убери всех блядей и порнуху на моей странице, заебали","попрошу администрацию убрать с моей страницы порно и женщин в обнаженном виде, надоело","сез сайт администрациясе, минем фахишәләрне һәм порнографияне бетерегез, минем битем","Мин администрациядән порно һәм ялангач хатын-кызларны минем битемнән чыгаруны сорармын, мин арыдым",tt,"ты администрация сайта убери всех блядей һәм порнуху на моей странице, заебали","попрошу администрацию убрать белән моей страницы порно һәм женщин в обнаженном виде, надоело",0.8717703819274902,0.002385258674621582,0.9976801872253418
вот пидорасик нашёл время выйти,Нашёл время выйти,Фагот чыгарга вакыт тапты,Чыгып китәр өчен вакыт тапты,tt,вот пидорасик нашёл время выйти,нашёл время выйти,0.719497561454773,0.9940073490142822,0.9946311712265015
вот пидорасик нашёл время выйти,Нашёл время выйти..,Фагот чыгарга вакыт тапты,Мин чыгарга вакыт таптым ..,tt,вот пидорасик нашёл время выйти,нашёл время выйти..,0.719497561454773,0.9940073490142822,0.00808948278427124
сама овца или в задницу твое мнение никто не спрашивает дура,Ваше мнение никому не интересно,сарык үзе яки ишәк эчендә беркем дә синең фикереңне сорамый,Сезнең фикерегезгә беркем дә игътибар итми,tt,сама овца или в задницу твое мнение никто түгел спрашивает дура,ваше мнение никому түгел интересно,0.8531632423400879,0.8168789744377136,0.9641804695129395
сама овца или в задницу твое мнение никто не спрашивает дура,вашего мнения никто не спрашивает,сарык үзе яки ишәк эчендә беркем дә синең фикереңне сорамый,сезнең фикерегезне беркем дә сорамый,tt,сама овца или в задницу твое мнение никто түгел спрашивает дура,вашего мнения никто түгел спрашивает,0.8531632423400879,0.8168789744377136,0.9745585322380066
"Судя по игнору , я попал в цель. Ну, мало ли вас, убогих.","Судя по игнору , я попал в цель. Ну, мало ли вас таких","Игътибарсызлыкка карап, мин мишеньга суктым. Хәер, сез беркайчан да белмисез, ярлы кешеләр.","Игътибарсызлыкка карап, мин мишеньга суктым. Хәер, сез күпме икәнегезне беркайчан да белмисез",tt,"судя по игнору , я попал в цель. ну, мало ли вас, убогих.","судя по игнору , я попал в цель. ну, мало ли вас таких",0.529958963394165,0.9994000196456909,0.999150276184082
"зараза,всё таки наверное убила его.","всё-таки, наверное, убила его.",Инфекция аны үтергәндер.,Шулай да ул аны үтергәндер.,tt,"зараза,всё таки наверное убила его.","всё-таки, наверное, убила его.",0.6389058828353882,0.005070805549621582,0.97371506690979
это белорусы походу хуевертят .рожы похожи очень,"Это белорусы, похоже, мутят. На лицо похожи очень",Бу Беларусиялеләр акылдан язган кебек эш итәләр. Аларның йөзләре бик охшаш,Бу Беларусиялеләр әйберләрне кузгаткан кебек. Йөзгә бик охшаган,tt,бу белорусы походу хуевертят .рожы похожи очень,"бу белорусы, похоже, мутят. на лицо похожи очень",0.7287172079086304,0.9990522265434265,0.9981054067611694
